# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
    0.659966        1.41       0.936    0.204907
    0.848528       2.395      1.0175    0.186923
     1.03709       4.315     1.14975    0.365133
     1.22565       4.725      2.1965    0.420894
     1.41421        4.25       1.874     0.39528
     1.60278         5.8       2.608    0.404377
     1.79134       5.395      3.4975    0.481763
      1.9799       5.035     3.85675    0.678061
     2.16846       9.575     5.03025    0.824728
     2.35702      11.675     20.7523     3.41881
     2.54558         9.9     36.4685     6.06207
     2.73415       7.635       9.105    0.847788
     2.92271        9.88       4.909    0.755996
     3.11127        7.77     4.49125    0.775494
     3.29983       4.645      3.6765    0.603372
     3.48839        2.89       1.905    0.385623
     3.67696       2.645     1.12075    0.288614
     3.86552       2.355     1.11775     0.23468
     4.05408        0.81       0.515    0.138659
     4.24264         1.6       0.385    0.119837
      4.4312        0.74        0.59     0.11225
     4.61976       0.555      0.0825   0.0380895
     4.80833       0.195     0.01825   0.0122743
     4.99689        0.61      0.0305   0.0297277
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           1    0.062619   0.0466881
    0.282843           0    0.164762   0.0552591
    0.471405           0       0.455    0.108132
    0.659966        1.06    0.941905    0.195235
    0.848528       2.035     1.06595    0.184195
     1.03709       4.145     1.29238    0.374569
     1.22565       5.195     2.33929     0.42438
     1.41421         5.3     2.03714     0.40874
     1.60278       7.465     2.83929     0.44639
     1.79134       4.425     3.54167    0.460842
      1.9799       6.385     3.97714    0.656373
     2.16846        5.56     5.05548    0.785841
     2.35702       8.575     20.1724     3.30482
     2.54558       12.07     35.3067     5.88368
     2.73415        9.27     9.11286    0.807453
     2.92271       9.925     5.14786     0.75679
     3.11127        8.64     4.68881    0.763316
     3.29983        6.02      3.7881    0.584869
     3.48839        2.93     1.95381    0.370336
     3.67696       0.775     1.10429    0.275339
     3.86552       2.855     1.20048    0.237639
     4.05408        0.37    0.508095    0.132228
     4.24264           1    0.414286    0.117654
      4.4312       1.775    0.646429    0.120255
     4.61976       0.225   0.0892857   0.0368752
     4.80833           1       0.065   0.0470971
     4.99689           0   0.0290476   0.0283476
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           1    0.105227   0.0609841
    0.282843           0    0.157273   0.0532524
    0.471405           0    0.434318    0.105177
    0.659966        0.61    0.926818    0.186943
    0.848528       3.475     1.17545    0.205813
     1.03709        4.74     1.44909    0.388945
     1.22565        4.26     2.42659    0.413973
     1.41421        4.65     2.15591     0.40705
     1.60278        6.33     2.99795    0.453423
     1.79134        3.61     3.54477    0.439905
      1.9799       6.215     4.07886    0.634371
     2.16846       8.455        5.21    0.765162
     2.35702       8.315     19.6334     3.19825
     2.54558      10.465     34.1775     5.72357
     2.73415       14.98     9.37955    0.813601
     2.92271        8.68     5.30841    0.739225
     3.11127        6.43     4.76795    0.732711
     3.29983        4.54     3.82227    0.559282
     3.48839        3.41        2.02    0.359369
     3.67696        2.08     1.14864    0.266372
     3.86552       1.735     1.22477    0.228076
     4.05408        0.02    0.485909    0.128066
     4.24264         1.4    0.459091    0.120536
      4.4312         1.6    0.689773    0.122351
     4.61976           0   0.0852273   0.0354217
     4.80833           1      0.1075   0.0611982
     4.99689           0   0.0277273   0.0270898
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809       0.275    0.112609   0.0587776
    0.282843       0.725    0.181957   0.0563683
    0.471405        0.43     0.43413    0.100604
    0.659966       2.255    0.984565    0.187522
    0.848528        2.33     1.22565    0.202894
     1.03709        3.62     1.54348    0.383316
     1.22565        4.69       2.525    0.407503
     1.41421        3.91     2.23217    0.396432
     1.60278        8.25      3.2263    0.487832
     1.79134       4.175     3.57217    0.421631
      1.9799       6.385     4.17913    0.614663
     2.16846       5.095       5.205    0.731911
     2.35702       9.375     19.1874     3.09014
     2.54558        8.72     33.0707     5.58071
     2.73415      16.855     9.70457    0.840644
     2.92271        9.48     5.48978    0.728995
     3.11127        5.72     4.80935    0.702022
     3.29983        3.49     3.80783    0.535152
     3.48839       3.115     2.06761    0.346883
     3.67696       4.105     1.27717    0.284116
     3.86552           1       1.215    0.218369
     4.05408        0.05    0.466957    0.123892
     4.24264        1.95    0.523913    0.131576
      4.4312           1    0.703261    0.117773
     4.61976           0   0.0815217   0.0340749
     4.80833        0.81    0.138043   0.0657189
     4.99689        0.19   0.0347826    0.026815
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0    0.107917   0.0565155
    0.282843       1.855    0.251667   0.0870353
    0.471405        0.27    0.427292   0.0966442
    0.659966       1.305    0.997917    0.180183
    0.848528       2.425     1.27563      0.2005
     1.03709         4.2     1.65417    0.382993
     1.22565        5.19     2.63604    0.405371
     1.41421        4.84     2.34083    0.394525
     1.60278        6.59     3.36646    0.487223
     1.79134       4.485     3.61021    0.405775
      1.9799       4.925     4.21021    0.589837
     2.16846        8.41     5.33854    0.713493
     2.35702        7.83     18.7142      2.9974
     2.54558       7.135       31.99     5.45181
     2.73415      16.145     9.97292    0.847367
     2.92271       10.05     5.67979    0.722959
     3.11127         5.3     4.82979    0.673069
     3.29983       3.505     3.79521    0.513003
     3.48839       5.055     2.19208    0.354059
     3.67696       2.995     1.34875    0.281149
     3.86552        1.75     1.23729    0.210405
     4.05408        1.11     0.49375    0.121593
     4.24264       1.025    0.544792     0.12774
      4.4312        0.44    0.692292    0.113375
     4.61976       0.165       0.085   0.0328322
     4.80833       0.185        0.14   0.0630097
     4.99689       0.815   0.0672917   0.0409045
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0      0.1036   0.0544195
    0.282843       0.455      0.2598   0.0839331
    0.471405        2.39      0.5058    0.120519
    0.659966        0.58      0.9812     0.17375
    0.848528        2.28      1.3158    0.196464
     1.03709        4.48      1.7672    0.383991
     1.22565       5.015      2.7312    0.400169
     1.41421       4.035      2.4086     0.38452
     1.60278       5.485      3.4512    0.475046
     1.79134        4.05      3.6278    0.389925
      1.9799       7.705        4.35    0.582573
     2.16846       9.285      5.4964    0.702199
     2.35702       5.825     18.1986      2.9215
     2.54558        9.42     31.0872     5.30796
     2.73415        15.2      10.182    0.838871
     2.92271       9.225      5.8216    0.707812
     3.11127        5.58      4.8598    0.646815
     3.29983       4.645      3.8292    0.493607
     3.48839       2.875      2.2194    0.340949
     3.67696       2.305       1.387    0.272493
     3.86552        2.86      1.3022    0.211764
     4.05408       2.825       0.587    0.148234
     4.24264        0.48      0.5422    0.122656
      4.4312           0      0.6646    0.112171
     4.61976           0      0.0816   0.0316944
     4.80833       0.865       0.169   0.0668305
     4.99689       0.135        0.07   0.0393578
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809        0.04    0.101154   0.0523814
    0.282843        0.16    0.255962   0.0807926
    0.471405       1.885    0.558846    0.127022
    0.659966       1.245    0.991346    0.167363
    0.848528        2.63     1.36635    0.195302
     1.03709        4.98     1.89077    0.388596
     1.22565       6.055     2.85904    0.404683
     1.41421       3.985     2.46923     0.37448
     1.60278       7.145     3.59327    0.477547
     1.79134       3.945        3.64    0.375119
      1.9799        5.98     4.41269     0.56353
     2.16846       10.74     5.69808    0.703557
     2.35702       3.635     17.6385     2.86233
     2.54558        8.97     30.2365     5.17152
