#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         554     3.33159     3.25594    0.003997
         555     3.33616     3.25608  0.00399241
         556     3.34197     3.25624  0.00398822
         557     3.35112     3.25641   0.0039847
         558     3.35453     3.25658  0.00398143
         559     3.34389     3.25674  0.00397737
         560     3.33155     3.25687  0.00397251
         561     3.33063       3.257  0.00396761
         562     3.33463     3.25714  0.00396295
         563     3.33131     3.25727   0.0039581
         564     3.31683     3.25738  0.00395249
         565     3.29986     3.25745  0.00394621
         566     3.28712     3.25751  0.00393959
         567      3.2646     3.25752  0.00393266
         568     3.24832      3.2575  0.00392577
         569        3.28     3.25754  0.00391907
         570     3.30044     3.25762  0.00391292
         571     3.30255      3.2577  0.00390685
         572      3.3149      3.2578   0.0039013
         573     3.31047     3.25789  0.00389558
         574     3.25964     3.25789  0.00388879
         575     3.26971     3.25791  0.00388208
         576     3.31758     3.25802  0.00387673
         577     3.32446     3.25813  0.00387172
         578     3.30843     3.25822    0.003866
         579     3.26673     3.25823  0.00385935
         580     3.23198     3.25819  0.00385296
         581     3.26184     3.25819  0.00384633
         582     3.26966     3.25821  0.00383977
         583     3.26958     3.25823  0.00383324
         584     3.29859      3.2583   0.0038273
         585     3.31607      3.2584  0.00382203
         586     3.31843      3.2585  0.00381688
         587     3.31265      3.2586  0.00381149
         588     3.29312     3.25865  0.00380546
         589     3.26669     3.25867  0.00379902
         590     3.27145     3.25869  0.00379265
         591     3.28109     3.25873  0.00378642
         592     3.27473     3.25875  0.00378012
         593     3.27836     3.25879  0.00377389
         594      3.2991     3.25886  0.00376815
         595     3.31879     3.25896  0.00376316
         596     3.32889     3.25907  0.00375867
         597     3.32888     3.25919   0.0037542
         598      3.3206     3.25929  0.00374932
         599     3.30898     3.25938  0.00374398
         600     3.30679     3.25946  0.00373857
         601     3.31868     3.25955  0.00373365
         602      3.3318     3.25967  0.00372938
         603     3.33487      3.2598  0.00372528
         604     3.31644     3.25989  0.00372029
         605      3.2768     3.25992  0.00371425
         606     3.26291     3.25993  0.00370812
         607     3.27657     3.25995  0.00370211
         608     3.29959     3.26002   0.0036966
