#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         534     2.19854     2.16879  0.00273125
         535     2.20539     2.16886    0.002727
         536     2.21023     2.16894    0.002723
         537     2.21169     2.16902   0.0027191
         538     2.20307     2.16908  0.00271478
         539     2.19517     2.16913  0.00271017
         540     2.21296     2.16921  0.00270637
         541     2.21355     2.16929  0.00270261
         542     2.21506     2.16938  0.00269894
         543     2.22585     2.16948  0.00269597
         544     2.23618      2.1696   0.0026938
         545     2.23182     2.16972  0.00269128
         546     2.22497     2.16982  0.00268825
         547     2.23065     2.16993  0.00268564
         548      2.2294     2.17004  0.00268293
         549     2.22449     2.17014  0.00267987
         550     2.22094     2.17023  0.00267659
         551     2.21977     2.17032  0.00267324
         552     2.23336     2.17043  0.00267084
         553      2.2264     2.17053  0.00266793
         554     2.22106     2.17063  0.00266467
         555      2.2241     2.17072  0.00266161
         556     2.22798     2.17082  0.00265881
         557     2.23408     2.17094  0.00265646
         558     2.23635     2.17106  0.00265429
         559     2.22926     2.17116  0.00265158
         560     2.22103     2.17125  0.00264834
         561     2.22042     2.17134  0.00264507
         562     2.22309     2.17143  0.00264197
         563     2.22088     2.17152  0.00263874
         564     2.21122     2.17159    0.002635
         565     2.19991     2.17164  0.00263081
         566     2.19142     2.17167  0.00262639
         567      2.1764     2.17168  0.00262177
         568     2.16554     2.17167  0.00261718
         569     2.18667      2.1717  0.00261271
         570     2.20029     2.17175  0.00260861
         571      2.2017      2.1718  0.00260457
         572     2.20993     2.17186  0.00260087
         573     2.20698     2.17193  0.00259705
         574      2.1731     2.17193  0.00259253
         575      2.1798     2.17194  0.00258806
         576     2.21172     2.17201  0.00258448
         577     2.21631     2.17209  0.00258114
         578     2.20562     2.17215  0.00257733
         579     2.17782     2.17216   0.0025729
         580     2.15465     2.17213  0.00256864
         581     2.17456     2.17213  0.00256422
         582     2.17978     2.17214  0.00255985
         583     2.17972     2.17216  0.00255549
         584     2.19906      2.1722  0.00255153
         585     2.21071     2.17227  0.00254802
         586     2.21229     2.17234  0.00254459
         587     2.20844      2.1724  0.00254099
         588     2.19541     2.17244  0.00253697
         589      2.1778     2.17245  0.00253268
         590     2.18096     2.17246  0.00252843
         591     2.18739     2.17249  0.00252428
         592     2.18316      2.1725  0.00252008
         593     2.18557     2.17253  0.00251593
         594      2.1994     2.17257   0.0025121
         595     2.21252     2.17264  0.00250877
         596     2.21926     2.17272  0.00250578
         597     2.21925     2.17279   0.0025028
         598     2.21373     2.17286  0.00249955
         599     2.20599     2.17292  0.00249599
         600     2.20453     2.17297  0.00249238
         601     2.21245     2.17304   0.0024891
         602      2.2212     2.17312  0.00248625
         603     2.22325      2.1732  0.00248352
         604     2.21096     2.17326  0.00248019
         605     2.18454     2.17328  0.00247616
         606     2.17527     2.17328  0.00247208
         607     2.18438      2.1733  0.00246808
         608     2.19973     2.17335   0.0024644
         609      2.2104     2.17341   0.0024611
         610     2.20726     2.17346  0.00245769
         611     2.19408      2.1735   0.0024539
         612     2.18653     2.17352  0.00244999
         613     2.17782     2.17352    0.002446
         614     2.16956     2.17352  0.00244202
         615     2.17161     2.17351  0.00243806
         616     2.18726     2.17354   0.0024342
         617     2.20572     2.17359  0.00243081
         618     2.21151     2.17365  0.00242765
         619     2.20997     2.17371  0.00242444
         620     2.21248     2.17377  0.00242134
         621     2.21805     2.17384  0.00241849
         622     2.21891     2.17391  0.00241568
         623     2.20034     2.17396  0.00241218
         624     2.14759     2.17392  0.00240868
         625     2.16861     2.17391  0.00240484
         626     2.20446     2.17396   0.0024015
         627     2.20709     2.17401  0.00239825
         628     2.20031     2.17405   0.0023948
         629     2.20965     2.17411  0.00239166
         630     2.21143     2.17417  0.00238859
         631     2.19348      2.1742  0.00238501
         632     2.19544     2.17423  0.00238147
         633     2.22434     2.17431  0.00237902
         634     2.22356     2.17439  0.00237654
         635      2.2115     2.17445  0.00237351
         636      2.2199     2.17452  0.00237086
         637     2.22295     2.17459  0.00236835
         638     2.20349     2.17464  0.00236507
         639     2.16753     2.17463   0.0023614
         640     2.16198     2.17461  0.00235779
         641       2.183     2.17462  0.00235415
         642     2.19456     2.17465  0.00235069
         643     2.18986     2.17468  0.00234715
         644      2.1257      2.1746  0.00234474
         645     2.14038     2.17455   0.0023417
         646     2.19548     2.17458   0.0023383
         647     2.21482     2.17464  0.00233552
         648     2.21615      2.1747  0.00233279
         649     2.20389     2.17475  0.00232963
         650     2.17091     2.17474  0.00232605
         651     2.14317      2.1747  0.00232298
         652     2.15377     2.17466  0.00231964
         653     2.17926     2.17467   0.0023161
         654     2.19194      2.1747  0.00231271
         655     2.19689     2.17473  0.00230943
         656     2.19825     2.17477  0.00230619
         657     2.19667      2.1748  0.00230292
         658     2.19348     2.17483  0.00229959
         659     2.19116     2.17485  0.00229624
         660     2.18825     2.17487  0.00229285
         661     2.17943     2.17488  0.00228939
         662     2.17023     2.17487  0.00228594
         663      2.1753     2.17487  0.00228249
         664     2.18727     2.17489  0.00227913
         665     2.19075     2.17492  0.00227583
         666      2.1817     2.17493  0.00227244
         667     2.16827     2.17492  0.00226905
         668      2.1746     2.17492  0.00226565
         669     2.18958     2.17494  0.00226237
         670     2.19056     2.17496  0.00225912
         671       2.181     2.17497  0.00225577
         672     2.18047     2.17498  0.00225243
         673     2.18925       2.175  0.00224918
         674     2.19147     2.17502  0.00224597
         675     2.18362     2.17504  0.00224268
         676     2.16902     2.17503  0.00223938
         677     2.16551     2.17501  0.00223612
         678      2.1806     2.17502  0.00223284
         679     2.19344     2.17505  0.00222971
         680     2.19731     2.17508  0.00222667
         681     2.19501     2.17511   0.0022236
         682     2.19167     2.17514  0.00222047
         683     2.19279     2.17516  0.00221737
         684     2.19921      2.1752  0.00221441
         685     2.20649     2.17524  0.00221164
         686     2.20857     2.17529  0.00220895
         687     2.20303     2.17533  0.00220611
         688     2.19648     2.17536  0.00220311
         689     2.19749     2.17539  0.00220015
         690     2.20981     2.17544  0.00219753
         691     2.22569     2.17552  0.00219555
         692     2.22636     2.17559  0.00219361
         693     2.20928     2.17564  0.00219098
         694     2.19244     2.17566  0.00218796
         695     2.18947     2.17568   0.0021849
         696     2.21118     2.17573  0.00218235
         697     2.23017     2.17581  0.00218062
         698     2.22633     2.17588   0.0021787
         699     2.21732     2.17594  0.00217639
         700     2.22054     2.17601  0.00217421
         701     2.23092     2.17609  0.00217252
         702     2.23603     2.17617   0.0021711
